  workflow,    t_alloc,      #team, #ftrs_spec,     fuzzed,         co,   #exec_wf,  #exec_tdd,   #exec_co,  #exec_spc,  #exec_imp,  #exec_tng,  #exec_dbg,  #exec_rfg,   #fuzz_wf,  #fuzz_tdd,   #fuzz_co,  #fuzz_spc,  #fuzz_imp,  #fuzz_tng,  #fuzz_dbg,  #fuzz_rfg,  #fuzz_tot,  #lines_wf, #lines_tdd,  #lines_co, #lines_spc, #lines_imp, #lines_tng, #lines_dbg, #lines_rfg,    mtf_avg,        mtf,     t_used, #ftrs_impld,     #t_run
WaterfallD,        500,          3,      0 1 2, CTIDR     ,      0.005,         25,          0,        127,         71,         36,          5,          0,          0,          0,          0,        110,          0,         14,          8,          0,          0,        132,         16,          6,          8,          3,          5,          7,          4,          5,       4.00, [0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 1, 1, 78, 21, 0, 0, 0, 0, 0],        500,       2.72,         57
WaterfallD,        500,          3,      0 1 2, CTIDR     ,      0.010,         25,          0,        198,         74,         56,         27,         18,         17,          0,          0,         51,          0,         32,         14,          2,          5,        104,         16,          6,          8,          3,          5,          7,          4,          5,       9.00, [1, 0, 0, 0, 1, 2, 0, 0, 1, 1, 3, 0, 44, 1, 0, 0, 0, 1, 1, 1, 0, 0, 146, 27, 1],        403,       2.88,         49
WaterfallD,        500,          3,      0 1 2, CTIDR     ,      0.020,         25,          0,        283,         73,         59,         39,         28,         23,          0,          0,        100,          0,         13,         19,          6,          4,        142,         16,          6,          8,          3,          5,          7,          4,          5,      41.00, [0, 21, 0, 70, 40, 0, 1, 0, 1, 49, 35, 175, 406, 1, 114, 0, 1, 0, 35, 0, 29, 0, 0, 67, 0],        403,       2.76,         56
WaterfallD,        500,          3,      0 1 2, CTIDR     ,      0.050,         25,          0,        539,         75,         72,         63,         54,         54,          0,          0,         47,          0,          0,          0,          3,          6,         56,         16,          6,          8,          3,          5,          7,          4,          5,     113.00, [31, 35, 2, 75, 36, 73, 75, 60, 750, 120, 37, 203, 42, 1, 52, 0, 22, 313, 156, 99, 504, 81, 0, 32, 49],        169,       3.00,         46
WaterfallD,        500,          3,      0 1 2, CTIDR     ,      0.100,         25,          0,        484,         73,         64,         60,         57,         57,          0,          0,         22,          0,          1,          3,          0,          6,         32,         16,          6,          8,          3,          5,          7,          4,          5,      79.00, [50, 116, 294, 93, 91, 108, 99, 0, 0, 61, 97, 21, 119, 123, 42, 0, 2, 90, 200, 46, 91, 181, 0, 68, 0],        149,       2.88,         29
WaterfallD,        500,          3,      0 1 2, CTIDR     ,      0.200,         25,          0,        543,         75,         72,         69,         66,         66,          0,          0,          4,          0,          2,          3,          0,          0,          9,         16,          6,          8,          3,          5,          7,          4,          5,      87.00, [42, 2, 40, 23, 62, 0, 19, 81, 78, 42, 193, 26, 311, 35, 150, 16, 203, 46, 74, 70, 174, 113, 75, 20, 303],         91,       3.00,         34
WaterfallD,        500,          3,      0 1 2, CTIDR     ,      0.500,         25,          0,        611,         75,         75,         72,         72,         72,          0,          0,          2,          0,          0,          0,          0,          0,          2,         16,          6,          8,          3,          5,          7,          4,          5,     144.00, [40, 75, 223, 176, 56, 63, 473, 60, 58, 231, 115, 32, 144, 106, 19, 272, 504, 162, 256, 73, 100, 137, 105, 93, 44],         32,       3.00,         34
WaterfallD,        500,          3,      0 1 2, CTIDR     ,      1.000,         25,          0,        535,         75,         74,         72,         72,         72,          0,          0,          4,          0,          0,          0,          0,          0,          4,         16,          6,          8,          3,          5,          7,          4,          5,     107.00, [41, 45, 35, 177, 49, 410, 75, 89, 93, 0, 93, 55, 296, 68, 67, 87, 165, 133, 160, 163, 52, 98, 56, 75, 110],         51,       3.00,         33
WaterfallD,        500,          3,    0 1 2 3, CTIDR     ,      0.001,         25,          0,         77,         77,          0,          0,          0,          0,          0,          0,        307,          0,          0,          0,          0,          0,        307,         16,          6,          8,          3,          5,          7,          4,          5,       0.00, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0],        480,       1.52,         26
WaterfallD,        500,          3,    0 1 2 3, CTIDR     ,      0.002,         25,          0,         86,         78,          6,          0,          0,          0,          0,          0,        165,          0,          4,          0,          0,          0,        169,         16,          6,          8,          3,          5,          7,          4,          5,       0.00, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0],        500,       2.04,         41
WaterfallD,        500,          3,    0 1 2 3, CTIDR     ,      0.005,         25,          0,        173,         93,         38,          8,          8,          4,          0,          0,        131,          0,         30,          1,          2,          0,        164,         16,          6,          8,          3,          5,          7,          4,          5,      10.00, [0, 0, 0, 0, 262, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0],        500,       3.48,         65
